,rawcomment,sentiment_predictions,sarcasm_predictions
406,BABEEEE BABEEEE BABEEEEE,1,0
407,And now starting I have my first love,2,0
408,"Hey guys do you know what's the title of this other version song ""Baby"" I can't remember.",1,0
409,Cadê os Br?🇧🇷,1,1
410,Justin🎇,1,0
411,So.....This is the most disliked song ever?,1,0
412,2023 still can't get over it... Love u justin,2,0
413,Dislike comment.,1,0
414,"Alguien esta en 2023 y god god god justin bieber el cambio de persona niño:facherito 😃😁

Ahora:facheroooo😐",1,1
415,this is the coolest song for meh😍,1,0
416,when this song was released i was not even born now im 12🤧😭,1,0
417,cute voice,2,0
418,hi 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 we love you so march 🤣🥰 and i love u i will never forgt u you are my love,2,0
419,??brasil aqui em 2023❤,1,1
420,SMASH,1,1
421,"TODA VEZ QUE ALGUÉM CLICAR NESSE LINK EU VOU VÊ ESSE VÍDEO MAIS 3 VEZES🥰🙌🏻


https://youtu.be/S-hOZV1s4_M",1,0
422,TEMAZOOO,1,0
423,762 GOD 🎉🎉🎉,1,1
424,761 GOD 😃😃😃,1,1
425,"Baby baby baby ooooh
Baby baby baby nooo",1,1
426,just came to watch drake,1,0
427,❤️❤️❤️❤️❤️🌹,1,0
428,760 GOD 👻👻👻,1,1
429,759 GOD 🖤🖤🖤,1,1
430,758 GOD 💚💚💚,1,1
431,757 GOD 🌷🌷🌷,1,1
432,756 GOD 💗💗💗,1,1
433,755 GOD 💘💘💘,1,1
434,754 GOD 💝💝💝,1,1
435,753 GOD 🐰🐰🐰,1,1
436,752 GOD 💙💙💙,1,1
437,751 GOD 👑👑👑,1,1
438,Hit the like comment button to dislike this video,1,0
439,your rasist boy,1,1
440,احب هاذي الاغنيه,1,0
441,Let see how many legends r listening this masterpiece in 2023 ❤️💫,2,0
442,"Listening to this song in 2023, I'm saying to myself: this isn't a bad song at all. Seriously. From an unknown reason, we all have been hating on 15 year old kid for nothing.",0,0
443,No he didnt Jackson Bird Allah owned the world,1,1
444,s,1,0
445,"Fake men: This song is a shit

Real men: 🎶BABY, BABY BABY OH 🎶",0,1
446,"Lembro eu com meus 6 anos (acho) trocando meu CD do LUAN SANTANA com a vizinha, pois ela tinha do do junstin",1,0
447,Let's see how many people are watching and 2023 I am too🤚,2,0
448,2023 here,1,0
449,This is amazing 😮,2,0
450,Feb 2023 anyone is here,1,0
451,I started getting bullied at age rightful age of 3 just for being different,1,0
452,This song is still listened wow,2,0
453,Nostalgia:3,1,0
454,that was me ong,1,0
455,Tvoje máma,1,0
456,Dislike count lost,1,1
457,😀,1,0
458,I will listen this song daily,1,0
459,Good night,2,0
460,Dj bravo ?😜😜😁😁 ini last some minute sing  a song,1,0
461,February 2023,1,0
462,"This song will always make history, like it or not.
Either it being the most successful song of all time or being the most hated song on YouTube, this song will not be forgotten.",2,0
463,I love this song so much ❤❤❤!!!,2,0
464,"Those days were precious man. I still remember hanging out with my friends wearing a fking tight jeans with a spiked hair while listening baby on repeat. Funny how time passes so fast. So lads, don't focus on finding happiness within you only, try to find it around you too.",2,0
465,🎉😊❤❤❤❤❤😢😮,1,0
466,"This song gives me energy and encouragement to keep doing what I love, and even though it's old it will always be one of my favorite songs, you're really good at it.😍🥰🤩",2,0
467,😄😄😄😁😁😊😍😍😍🥰🥰🥰🤭🤭🤗❤❤❤❤❤❤❤❤💞💝,1,0
468,It like and describe it,1,0
469,Song is Unstoppable,1,0
470,Ssss ❤️ king,1,0
471,I really wished I was the girl in that music video she was so lucky,2,0
472,What is your  aje,1,0
473,Thank you ❤️,1,0
474,That vibes. ouff,1,0
475,ILoveU..Baby.,1,1
476,750 GOD 🤩🤩🤩,1,1
477,749 GOD 🐇🐇🐇,1,1
478,748 GOD ❣️❣️❣️,1,1
479,747 GOD 😍😍😍,1,1
480,746 GOD ♥️♥️♥️,1,1
481,745 GOD 🤣🤣🤣,1,1
482,744 GOD 😜😜😜,1,1
483,It is the best,2,1
484,Justin 🙂,1,1
485,i listened to this om my first breakup fet so good when i listened to it,2,0
486,👇 Who's here after watching Sandaru sathsara's Cover 😁,1,0
487,743 GOD 🥀🥀🥀,1,1
488,742 GOD 🤪🤪🤪,1,1
489,741 GOD 😀😀😀,1,1
490,740 GOD 😱😱😱,1,1
491,"Ohh wooaah Ohh wooaah Ohh wooaah
You know you love me,I know you care
Just shout whenever, And I'll be there
You want my love, You want my heart
And we will never ever ever be apart

Are we an item? Girl quit playing
We're just friends,What are you sayin'
Say theres another one, Looks right in my eyes

My first love broke my heart for the first time,
And I was like
Baby, baby, baby ooooh,like
Baby, baby, baby noo,like
Baby, baby, baby ooooh
I thought you'd always be mine mine

Baby, baby, baby ooooh,like
Baby, baby, baby noo,like
Baby, baby, baby ooooh
I thought you'd always be mine, oh oh

Oh for you, I would have done whatever
And I just cant believe we ain't together
And I wanna play it cool, About losin' you
I'll buy you anything, I'll buy you any ring
And i'm in pieces , baby fix me
And you'll shake me til' you wake me from this bad dream
Im going down, down, down, down
And I just can't believe my first love won't be around

And I was like
Baby, baby, baby nooo
Baby, baby, baby nooo
My baby, baby, baby noo
My baby, baby, baby nooo
I thought you'd always be mine mine

Baby, baby, baby nooo
Baby, baby, baby nooo
My baby, baby, baby noo
My baby, baby, baby nooo
I thought you'd always be mine mine

When i was 13 i had my first love
There was nobody that to compare to my baby
And nobody came between us or could ever come above
She had me go in crazy
Oh i was starstruck.
She woke me up daily dont need no starbucks
She made my heart pound
Asking for a beat when i see her in the street
And in the school on the playground
But i really wanna see her on the weekends
She knows she got me dazy
Cause she was so amazing and now my heart is breaking
But i just keep on sayin

Baby, baby, baby nooo
My baby, baby, baby noo
My baby, baby, baby nooo
I thought you'd always be mine mine

Baby, baby, baby nooo
My baby, baby, baby noo
My baby, baby, baby nooo
I thought you'd always be mine mine

Now Im all gone
gone gone gone
gonne......",2,1
492,739 GOD 🥰🥰🥰,1,1
493,738 GOD 💖💖💖,1,1
494,737 GOD 🎈🎈🎈,1,1
495,Wtf am i doing,0,0
496,736 GOD 🙏🙏🙏,1,1
497,735 GOD 😊😊😊,1,1
498,734 GOD ❤️❤️❤️,1,1
499,733 GOD 🤍🤍🤍,1,1
500,732 GOD 🎉🎉🎉,1,1
501,731 GOD 😃😃😃,1,1
502,Nice baby song ☺️,2,0
503,i am indian but i like this song,1,0
504,1:14 ei Drake what r you doing here,1,0
505,Drake where are you bro🫣,1,1
506,drake 1:14 !!!,1,1
507,Almost 12 years ago this song released but this song has same vibe still it's not only song,1,0
508,I love you 💗😘😘😘 so much ❤️❤️💕🥰🥰🥰🥰💓💓💓💓🥰💓,2,0
509,Who listen this masterpiece in 2023🥰🧨,1,1
510,I like for Justin Bieber,1,1
511,Fav song,1,0
512,Who are listening this masterpiece in 2023,1,1
513,Anyone 2023?,1,0
514,Are you age 28?,1,0
515,I was shocked Lana the song is old 😑,0,1
516,This song contains a lot of my childhood memories 🤍,1,0
517,Who Are still listening in 2023 ?,1,0
518,<3 forever in my heart,1,0
519,1:15 damn time flies drake was mad young,0,0
520,2023 🐾,1,0
521,Hi! Wish you could play some of your songs at my wedding?,1,0
522,Bro. How the wtfuhh am I just finding out that Luda mentions Starbucks after 14 years later ???😵‍💫,1,0
523,I love this song,2,0
524,"Bro. Song came in 2009, why they made it seem like he was younger than the age he was(16 yrs. old)😭",2,0
525,Anybody listening in 2023,1,0
526,HANDY MANNY,1,0
527,Handy Manny is Justin Bieber fan .,1,1
528,Handy Manny is dance .,1,0
529,asd,1,0
530,https://youtube.com/shorts/38Umg_Z3YCY?feature=share,1,0
531,"Que grande el Justin, no veniste a Argentina, pero en esta canción te banco",1,1
532,Anyone in 2023? 🤩,1,0
533,Thank goodness for AirPods cuz my kid is asleep lol,2,1
534,Lagu ini banyak sekali kenangan dalam hidupku,1,0
535,Anyone in 2023 🙋‍♀️🙋‍♂️,1,0
536,caught my 20 year old brother listening to this today,2,0
537,Everyone listing 2023 🙋,1,0
538,hailey Bieber,1,0
539,"This song brings back so many memories! I was thinking of making a playlist of music full of songs from my childhood, music from the 2010s would anyone be interested in this playlist? and/or have some songs that they think I should add?",2,0
540,"🗣️ BABY, BABY, BABY, OOOOOOOOOOOH ❤️",1,0
541,When I was younger I never knew drake was here until a few years ago😭,2,1
542,Me encanta esta canción hase 12 años😆,1,0
543,Hey,1,1
544,Anyone notice drake,1,0
545,Cute,2,0
546,get in a five car pile up Justin Bieber,1,0
547,🇮🇶العراق,1,0
548,🇮🇶,1,0
549,iraq iraq iraq  🇮🇶🇮🇶🇮🇶,1,1
550,iraq 🇮🇶🇮🇶العراق,1,1
551,iraq 🇮🇶🇮🇶🇮🇶,1,1
552,iraq  🇮🇶🇮🇶,1,1
553,🇮🇶,1,0
554,"My channel
https://youtube.com/@SKandheri-official",1,0
555,Your song is such motivational as it makes an hope to start a channel through which we can also be famous,2,0
556,Your song is mind blowing,1,0
557,2023???🤭,1,0
558,Songs to listen to when the homies aren’t around,1,0
559,"Heart touching love 
.... Love many 🥰🥰🥰🥺",2,0
560,https://www.youtube.com/watch?v=_OMbbMkn6Ko,1,0
561,beautiful,2,0
562,AAAAAOOOOO ASDAUIDASD PENE,1,0
563,Love Love Justin....,2,0
564,tengo un salami,1,0
565,]],1,0
566,el video tiene muchos dislike,1,0
567,730 GOD 💞💞💞,1,1
568,729 GOD 💛💛💛,1,1
569,728 GOD 👻👻👻,1,1
570,727 GOD 🖤🖤🖤,1,1
571,:),1,0
572,2023 baby,1,1
573,Cool,2,0
574,726 GOD 🌷🌷🌷,1,1
575,725 GOD 💗💗💗,1,1
576,724 GOD 💘💘💘,1,1
577,723 GOD 💝💝💝,1,1
578,722 GOD 🐰🐰🐰,1,1
579,721 GOD 💙💙💙,1,1
580,720 GOD 👑👑👑,1,1
581,719 GOD 💓💓💓,1,1
582,718 GOD 🌹🌹🌹,1,1
583,717 GOD 🤩🤩🤩,1,1
584,716 GOD 🐇🐇🐇,1,1
585,715 GOD ❣️❣️❣️,1,1
586,714 GOD 😍😍😍,1,1
587,This song will never get old😋🔥🔥🔥🔥🔥🔥😍😍😍😍😍😍😘😘😘😘,1,0
588,Fresh water clean air clean blue,2,0
589,"As a kid i used to hate this song just to oppose the rabid wave of fangirls and ugly bowlcut hair trends it spawned, but listening to it now the song honestly isnt as bad as i used to make it out to be. Its actually pretty good",0,0
590,13 years later and people still wanna listen this this. My 6 and 8 year old girls have me playing this song everyday after school.,0,0
591,From Bangladesh!,1,0
592,Hood classic,2,0
593,Esta canción es mi lugar seguro <3,1,0
594,Quand j’ai vu le « il y’a 12 ans » je me suis sentie vieille. Le temps passe trop vite.,1,1
595,this song we all stream when we done after having seg,1,0
596,Ginouilozimi,1,0
597,Ouououo,1,0
598,every minute some comment pops up,1,0
599,2023 continue listening 🫶🫶🫶🫶🫵🫵🫵🫵🫵🫵,1,0
600,Moive name??,1,0
601,Anyone in 2023 ?,1,0
602,I thought a girl is singing,1,0
603,This song will never get old....🥰💝,2,1
604,WOW AMAZING SONG LOVE IT ABSOLUTE MASTERPEICE,2,0
605,until now you are still my first bias in the world of music😭💞💞,2,0
606,"Back then, hating on Justin was the norm haha",2,0
607,يازينك اجلخ عليك كل يوم,1,0
608,https://youtu.be/en-B3ZgSIho,1,0
609,NTR ann fans ❤️ challapalli Krishna RRR movie 🍿,1,0
610,Super 💘💘💘💘💘💘💘💘💘💘💘😚😚😚😚😚😚😚😚😚😚😚 challapalli Krishna,2,1
611,2023 here👇🏾👇🏾👇🏾,1,0
612,My favorite Justin Bieber song!,2,0
613,Who is still bumping in 2023?,1,0
614,❤️❤️❤️🥰,1,0
615,can we just admit? this song is a banger,1,0
616,Nunca vou esquecer essas música .i never Will forget this music,1,0
617,I have listen this song almost 100 times,1,0
618,❤,1,0
619,👽✨💙,1,0
620,Shit came out when I was like 8 now I’m 19 shit brings back some of the best memories even tho it’s kinda cringe now 😂,2,0
621,wtf is that drrrake???,0,0
622,wtf ))),0,0
623,This song is= my age:),1,0
624,I heard this song when I was 4yrs old but it was released when I was 2 yrs old,2,0
625,BRO RLLY THINK HE CAN DO NICE CARRER ☠️☠️☠️☠️☠️,2,1
626,Yooooooou,1,0
627,I love this song,2,0
628,Any one listing this song from 2023,1,0
629,"Do not continue, you are not beautiful, and your voice is also not beautiful. I advise you to stop singing. Your voice is like the sound of insects. Get off, insect. 😑😑💩",2,0
630,"aww, little bieber.",0,0
631,Still listening 2023 ❤️,1,0
632,🌹🌹🌹🌹🌹🌹🌹🌹,1,0
633,💋💋💋💋💋💋,1,0
634,😘😘😘😘😘😘😘😘😘😘😘,1,0
635,😓😓😓😓😓😓,1,0
636,😍😍😍😍😍😍😍😍,1,0
637,💔💔💔💔💔,1,0
638,I don't like it mich,1,0
639,"I gotta try out the trend of singing this behind my crushes back but first I need to find a crush , kdrama has set the standards too high but imma gonna surely try it once I meet the one",2,1
640,Hey 2023 guys...u r still here ryt?,1,1
641,one day i will come back and cover this song muakaakak,1,0
642,This song ruling 2023 on Indian's heart ❤️,1,0
643,"Sub vs sub
Please support my channel
https://youtube.com/@topfourofficial5066",1,0
644,Cool,2,0
645,Muito bom,1,0
646,13 años de este temazo ❤️,1,1
647,IT'S NOSTALGIIIIIIC,1,0
648,"Hit Nepali Collection Song 2023
https://youtu.be/L4KL7fcTx0Q",1,0
649,Da super 🫢2023 N1,2,1
650,Justin Bieber se parece realmen a Jenna Ortega versión hombre:0,1,0
651,12years old song but still on firee🔥🔥🔥🔥🔥🔥,2,0
652,Xxxtantion is best,2,1
653,2023,1,0
654,2023,1,0
655,I love this song baby bay oh baby baby no baby baby oh,1,0
656,THATS MY FAVORITE SONG,2,0
657,"We need these kind of songs back..
Now it's all about nudity and dr*.gs",2,0
658,Iconic hair,1,1
659,Perfecttttttt,1,0
660,"2 fev,2023🙌🏻❤️",1,0
661,Raise your hand who are in 2023,1,0
662,😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘please one repley,1,0
663,How can this song be so on point for so many damn years of my life. It's like word for word fits so many past memories.,2,0
664,Must watch ♥️,1,0
665,*Let’s see How many people come here everyday 2023.*,2,0
666,잘 보고 들었습니다.,1,0
667,Youtube is the only thing which is closest to time machine.,1,0
668,2/2/23 yet the best,2,0
669,"Many people say this song is the worst of all time but my family and I highly disagree. We have heard a lot of songs much worse compared to this. This song isn't even bad to us because it's clean and it sounds tolerable. Plus, Justin Bieber's singing voice is nice and undeniably extraordinary.",2,0
670,W rizz,1,0
671,Really a good song♥️,2,0
672,i love this song,2,0
673,Queen Elizabeth ii only had one wish to be young forever and always,2,0
674,King Edward viii and Queen Elizabeth ii wedding 💒💍💍,1,0
675,The world wasn’t the same after this,1,1
676,2023 your fan from cambodia  😍,1,0
677,Wall come Gusy 2023,1,0
678,I remember when this was the most disliked video on YouTube.,1,0
679,Kon kon is song ko 2023 me bhi sun rha h😊😊,1,0
680,😘🥰,1,0
681,🛐,1,0
682,ya 12 años de este temon te amoooooooooo justiin <3,1,1
683,"For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord. (Romans 6:23)
Therefore also now, saith the LORD, turn ye even to me with all your heart, and with fasting, and with weeping, and with mourning: And rend your heart, and not your garments, and turn unto the LORD your God: for he is gracious and merciful, slow to anger, and of great kindness, and repenteth him of the evil. (Joel 2:12-13)
For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13)",0,1
684,Why love and women smell so bad,0,1
685,What a good times,2,0
686,you are my memory in my mind,1,0
687,Nice,2,0
688,"2,905,000,000 views👍its wonderful👍please go to 2.91 billion views👍2,910,000,000 views👍🌷🙏 Naman 🙏🙏",1,1
689,That Jasmine V just making babies after babies with different baby daddies,1,0
690,Ahora que lo miro en retrospectiva no estaba tan mal la canción,1,0
691,Hello,1,0
692,Waching 2023 ☺☺ thanks,2,0
693,I'm trying to understand why people had so much hate toward this kid growing up.  He made mistakes just like everyone else at his age.,0,1
694,I love his voice,2,0
695,I love like you've Justin the first 🥇🥇🙏🙇🥇🌻💘🤟💙🌹🤟🤟🤟🎉🤟🤟🤟,2,0
696,BABBBY,1,0
697,SOMEBODY IN 2027,1,0
698,2023 I'm still listening to this masterpiece song.♥️,1,0
699,Justin Bieber-baby fr.ludacris,1,1
700,Somebody in 2023,1,0
701,التصويررر والدقه كانه الحين,1,0
702,2023?,1,0
703,And tell Kaylee Bieber that I said hi,1,0
704,OMG Justin me and my best to be always play in the shower at night in the morning even that much wherever we go we love you,2,1
705,Love justin bebe 😍😍❤❤❤😘😘😘💘💘💘💘💘💘,2,0
706,I love you,2,0
707,você é muito gato de mais ❤️😍❤️😍❤️,1,0
708,2023,1,0
709,Youtube took down the dislike button :(,1,0
710,This song is basically promote that how by molesting women and do dance after they will like you wtf! This song deserve 14million dislike,0,1
711,X,1,0
712,😍😍😍💘❤ la baby baby baby,1,1
713,Follow me✔️🙏😍,1,0
714,I Took my chick up to the North Yea,1,1
715,Anyone who watches after dislikes are removed,1,0
716,Who caught Drake,1,1
717,Why is nobody talking about the time he punched and spitted at his fans???,1,1
718,I really love Justin Bieber he’s amazing his voice his songs are the best he’s my favorite singer and I really love this song it’s stuck in my head every second am singing it ❤❤😊😊,2,0
719,Who listen 1st fub 2023 ?,1,0
720,I think this is why they removed the dislike button,1,1
721,nice song,2,0
722,自杀,1,0
723,manifa  8  😍😍😍😍😍😍🤩🤩🤩🤩🤩😘😘😘😘💖💖💖💖💖,1,0
724,Just friends🌚,1,0
725,0:03,1,0
726,"this song will never get old
LUDACRIS is soo talented <3 He isnt like all these artists out here these days who just blow up on the Socials by using that *HIPVIEWS dawwwt cawwwwm* to get their hits up to go get mad exposure, SMH seem like anyone can go viral these days",2,1
727,It’s February 1st 2023 and i am still listening to “Baby”,1,0
728,SOU O COMENTÁRIO EM PORTUGUÊS QUE VOCÊ ESTÁ PROCURANDO,1,0
729,Chinese version better 😂,1,0
730,I'm today years old When I discovered that Drake appeared in this 💀,2,0
731,Who still listening in 2023❤️,1,0
732,Am gonna love this song now also. when I am in 8yrs old I heard this song now I am 14yrs.This song is god of love respectively.,2,0
733,2023??,1,0
734,3B 🔜,1,0
735,This is the best song in the world keep it up. Jusin babies i love you ❤️❤️❤️❤️❤️❤️❤️❤️🥺🥺🥺🥺🥺🥺🥺,2,0
736,هنا,1,0
737,Cringe,1,0
738,It's 2023 but this song never get old. Gem 💎,2,1
739,2023,1,0
740,I love you❤️,2,0
741,Look at Drake ahahha,1,1
742,"Justin Bieber is bigger than 25year now and he launch baby song on almost 15year 
He has a great talent",2,1
743,Hey I am Indian hy Americans,1,1
744,“OHHHHH NOOOOOO”,1,1
745,"If you are still listening to this in 2023, we need to be enemies",1,0
746,"Whenever I listen to this song, I always miss my first love🥺",2,0
747,Seu lindo,1,0
748,"Oh thy Divine Savior Donald Trump, when we get you back in the White House, please execute this transvestite subhuman seen on this video in the most horrific ways possible!",1,1
749,Where is dislike 🤔,1,0
750,"Which is the top most best song ever in 2023? Don't 't be insecure tho😜

Justin Bieber 'Baby' Pop - Like
Blackpink Lisa 'Money' K-pop - Comment




















































Say hello to 'Blackpink' if you're fans of k-pop and press button subscribed on, blinks here if you want to see girl group comes at coachella too🖤💗💋",2,0
751,Só viado gosta do justin Bieber,1,1
752,Are we not gonna talk about drake being in this,1,0
753,❤️‍🔥,1,0
754,ох вох бабабу бабау ооооо,1,0
755,1:14 Drake?🤩,1,1
756,0:00 to 2:00,1,0
757,Omg 👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️👁️👄👁️,1,1
758,713 GOD ♥️♥️♥️,1,1
759,712 GOD 🤣🤣🤣,1,1
760,711 GOD 😜😜😜,1,1
761,710 GOD 🥀🥀🥀,1,1
762,709 GOD 🤪🤪🤪,1,1
763,708 GOD 😀😀😀,1,1
764,707 GOD 😱😱😱,1,1
765,706 GOD 🥰🥰🥰,1,1
766,705 GOD 💖💖💖,1,1
767,704 GOD 🎈🎈🎈,1,1
768,703 GOD 🙏🙏🙏,1,1
769,702 GOD 😊😊😊,1,1
770,701 GOD ❤️❤️❤️,1,1
771,"""Dear God, I know I’m a sinner, and I ask for your forgiveness. I believe Jesus Christ is Your Son. I believe that He died for my sin and that you raised Him to life. I want to trust Him as my Savior and follow Him as Lord, from this day forward. Guide my life and help me to do your will. I pray this in the name of Jesus. Amen.""


Did you pray this prayer?",1,1
772,Watching in 2023,1,0
773,i was the only one in my group in highschool that could rap ludas part 😂,1,0
774,My cousin literally just listenes  to this song when she is at my house  I always ask her can we please play,1,0
775,منو اجه من التيك توك 🌚💔,1,0
776,0:55 to 0:59 hits different❤,1,0
777,My high school crush JB 😍,2,0
778,Who still listens in Feb 2021?,1,0
779,ДЖАСТИН Я ХОЧУ ТЕБЯ ААА,1,0
780,"Baby baby baby ooooooh, just vibing😎",1,0
781,1:15 esta ahora me entero que drake estuvo en El video,1,1
782,"After 12 years, listning its like i here this song tomorrow. Such a good feeling",2,0
783,"Thx ivy’s idb
Tfn",1,0
784,Komentar terakhir di sini gw....,1,1
785,real gangsta,2,0
786,2023 people where are you guys,1,1
787,Join My Profile🥰,1,0
788,"2.9 billion views👍2,900,000,000 views👍🌷🙏 Naman 🙏🙏",1,1
789,Who else knew this song before tiktok was a thing,1,0
790,Dislike king,1,0
791,this sucks,1,1
792,https://youtube.com/@motovlogJupiterz197,1,0
793,we need your help friends https://youtu.be/VQmnbq7LXis,1,0
794,i like music,1,1
795,Hi boss,1,0
796,Is that drake??,1,1
797,One more round,0,0
798,😍😍😩,1,0
799,So bad not as bad as everyday bro but still really bad,0,0
800,😈Legends are watching in 2023😈,1,0
801,"Comments,tokeep,कॉमेंट्स,रिस्पेक्टफुल,एंड,तो",1,0
802,When he honest. Justin Bieber owned the world for few days when her song was released.,2,0
803,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,0
804,2023 💯,1,0
805,"I like how his dance resemble the legendary mj....he is a fantastic person and dancer,singer etc",2,0
806,Favourite song from childhood. Used to listen a lot on my Nokia phone 😄,1,0
807,ur suport will never die:),1,0
808,"Crap.  Steaming, stinking, CRAP!",0,0
809,oigan a estas alturas sigue siendo el video con mas dislikes de la historia ?,1,1
810,My favorite song by him.. I swear<3 ❤️✨,2,0
811,how did this man get a girl in 3:39 minutes,1,1
812,wait a second is that drake,1,0
813,bro i'm just trying bowl ok,1,0
814,Wow Form india,2,1
815,I Will Watch in 2050,1,0
816,Quase 3B,1,0
817,Anyone in 2023,1,0
818,Man nem parece que se passou 12 anos dps disso,1,1
819,"Orgulho de dizer q sou fã do Justin,em pleno 2023 vim relembrar algumas de suas belas mscs ,que é umas pela qual  sou apaixonada 😍😍🥰",1,1
820,Just saying baby is only in ohio,1,0
821,I love this song,2,0
822,~baby~baby~baby~ohh~,1,0
823,1:20 What the fuck is Drake doing here,0,0
824,We need more of this Pewds. We need more nightmares. Urgently.305,1,1
825,"Everyone: My hearts a stereo
Me: Baby by Justin Bieber",1,1
826,1 February 2023🥺💗,1,0
827,1:15 drake????,1,1
828,Love the comment below me 😂,2,0
829,1:21 ayo since when is drake in this video,1,0
830,This for Kaylah,1,0
831,"Oh whoa, oh whoa, oh whoa
You know you love me, I know you care
Just shout whenever and I'll be there
You want my love, you want my heart
And we will never, ever, ever be apart
Are we an item? Girl, quit playin'
We're just friends, what are you sayin'
Said, ""there's another, "" and looked right in my eyes
My first love broke my heart for the first time
And I was like baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Oh, for you, I would have done whatever
And I just can't believe we ain't together
And I wanna play it cool
But I'm losin' you
I'll buy you anything
I'll buy you any ring
And I'm in pieces, baby, fix me
And just shake me 'til you wake me from this bad dream
I'm goin' down, down, down, down
And I just can't believe my first love won't be around
And I'm like baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Luda, when I was thirteen, I had my first love
There was nobody that compared to my baby
And nobody came between us or one could ever come above
She had me goin' crazy
Oh, I was starstruck
She woke me up daily
Don't need no Starbucks
She made my heart pound
And skip a beat when I see her in the street and
At school on the playground
But I really wanna see her on the weekend
She know she got me dazin'
'Cause she was so amazin'
And now my heart is breakin'
But I just keep on sayin'
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
I'm gone
(Yeah, yeah, yeah)
(Yeah, yeah, yeah) now I'm all gone
(Yeah, yeah, yeah)
(Yeah, yeah, yeah) now I'm all gone
(Yeah, yeah, yeah)
(Yeah, yeah, yeah) now I'm all gone
(Gone, gone, gone, gone) I'm gone",2,0
832,This is business,1,1
833,And meg,1,0
834,Bats,1,0
835,Let's do a break up on weed,1,1
836,1230,1,0
837,I'm only darth acina now,1,1
838,700 GOD 🐰🐰🐰,1,1
839,699 GOD 💙💙💙,1,1
840,698 GOD 👑👑👑,1,1
841,697 GOD 💓💓💓,1,1
842,696 GOD 🌹🌹🌹,1,1
843,695 GOD 🤩🤩🤩,1,1
844,694 GOD 🐇🐇🐇,1,1
845,693 GOD ❣️❣️❣️,1,1
846,692 GOD 😍😍😍,1,1
847,691 GOD ♥️♥️♥️,1,1
848,690 GOD 🤣🤣🤣,1,1
849,689 GOD 😜😜😜,1,1
850,688 GOD 🥀🥀🥀,1,1
851,I’m your biggest fan,1,0
852,687 GOD 🤪🤪🤪,1,1
853,686 GOD 😀😀😀,1,1
854,685 GOD 😱😱😱,1,1
855,684 GOD 🥰🥰🥰,1,1
856,683 GOD 💖💖💖,1,1
857,682 GOD 🎈🎈🎈,1,1
858,681 GOD 🙏🙏🙏,1,1
859,😢,1,0
860,"11 year ago this day 
1.2.2023",1,0
861,Certified hood classic,2,0
862,680 GOD 🎉🎉🎉,1,1
863,679 GOD 😃😃😃,1,1
864,678 GOD 💕💕💕,1,1
865,677 GOD 🤑🤑🤑,1,1
866,676 GOD 💞💞💞,1,1
867,675 GOD 💛💛💛,1,1
868,674 GOD 👻👻👻,1,1
869,673 GOD 🖤🖤🖤,1,1
870,673 GOD 💚💚💚,1,1
871,672 GOD 🌷🌷🌷,1,1
872,671 GOD 💗💗💗,1,1
873,670 GOD 💘💘💘,1,1
874,669 GOD 💝💝💝,1,1
875,668 GOD 🐰🐰🐰,1,1
876,667 GOD 💙💙💙,1,1
877,666 GOD 👑👑👑,1,1
878,665 GOD 💓💓💓,1,1
879,664 GOD 🌹🌹🌹,1,1
880,663 GOD 🐇🐇🐇,1,1
881,662 GOD ❣️❣️❣️,1,1
882,661 GOD 😍😍😍,1,1
883,"Everyone: My Hearts A Stereo! 

Me: Baby by Justin Bieber lol",2,1
884,👌✌👍,1,0
885,طرب,1,0
886,Songs to listen to when the homies aren't around,1,0
887,He was my celebraty crush..... 💢😤💔💔💔💔,1,0
888,omg justin ♥♥♥,1,1
889,This song will never get old 👀,2,1
890,amoo,1,0
891,660 GOD ♥️♥️♥️,1,1
892,659 GOD 🤣🤣🤣,1,1
893,658 GOD 😜😜😜,1,1
894,657 GOD 🥀🥀🥀,1,1
895,656 GOD 🤪🤪🤪,1,1
896,655 GOD 😀😀😀,1,1
897,654 GOD 😱😱😱,1,1
898,653 GOD 🥰🥰🥰,1,1
899,This song remember my childhood,1,0
900,652 GOD 💖💖💖,1,1
901,651 GOD 🎈🎈🎈,1,1
